"Date","Price","Open","High","Low","Vol.","Change %"
"04/11/2022","97.15","98.15","99.26","96.56","1.91K","-3.63%"
"04/08/2022","100.81","98.22","100.50","97.55","0.96K","2.60%"
"04/07/2022","98.26","100.24","100.94","96.26","1.66K","-0.62%"
"04/06/2022","98.87","104.95","105.30","99.49","1.74K","-5.62%"
"04/05/2022","104.76","107.46","107.50","104.67","1.09K","-0.82%"
"04/04/2022","105.63","101.75","106.04","101.01","1.12K","3.09%"
"04/01/2022","102.46","103.89","104.61","101.32","1.31K","-6.20%"
"03/31/2022","109.23","108.04","109.57","108.04","1.01K","-2.07%"
"03/30/2022","111.54","107.64","109.86","107.64","5.68K","4.75%"
"03/29/2022","106.48","107.83","109.88","103.15","1.31K","-2.12%"
"03/28/2022","108.79","112.35","113.13","107.59","4.14K","-6.87%"
"03/25/2022","116.82","115.35","115.35","112.37","2.88K","1.42%"
"03/24/2022","115.19","116.60","117.41","115.65","4.95K","-1.97%"
"03/23/2022","117.50","113.83","113.98","112.24","3.67K","3.74%"
"03/22/2022","113.26","117.28","117.32","110.68","1.62K","-1.38%"
"03/21/2022","114.84","111.31","115.92","110.40","1.76K","6.43%"
"03/18/2022","107.90","109.50","109.79","106.19","1.34K","0.93%"
"03/17/2022","106.91","102.38","107.12","101.33","1.27K","7.59%"
"03/16/2022","99.37","104.82","104.82","99.24","1.76K","-2.26%"
"03/15/2022","101.67","104.87","104.87","101.78","1.01K","-6.00%"
"03/14/2022","108.16","111.43","111.74","106.84","2.03K","-5.16%"
"03/11/2022","114.05","107.66","113.98","107.66","1.78K","4.33%"
"03/10/2022","109.32","112.66","117.24","111.26","1.18K","-1.81%"
"03/09/2022","111.34","129.89","130.22","112.42","1.23K","-12.39%"
"03/08/2022","127.09","124.99","131.79","124.97","0.82K","3.09%"
"03/07/2022","123.28","126.31","127.29","122.18","0.75K","4.50%"
"03/04/2022","117.97","112.17","117.75","110.30","0.74K","6.47%"
"03/03/2022","110.80","118.89","119.79","110.56","0.85K","-2.03%"
"03/02/2022","113.10","108.74","114.29","108.74","1.17K","7.93%"
"03/01/2022","104.79","100.00","106.96","99.89","1.42K","5.71%"
"02/28/2022","99.13","99.21","99.25","98.96","1.87K","4.16%"
"02/25/2022","95.17","97.49","99.39","96.91","2.71K","-1.16%"
"02/24/2022","96.29","100.51","100.60","99.98","3.14K","0.95%"
"02/23/2022","95.38","95.04","95.08","94.96","1.64K","-0.95%"
"02/22/2022","96.29","97.99","99.05","96.99","2.29K","0.77%"
"02/21/2022","95.55","93.97","96.46","93.88","1.74K","1.77%"
"02/18/2022","93.89","92.44","94.56","90.61","1.07K","0.77%"
